Date,TripArrYear,Fishery,Lat,Lon,StockArea,InMgmtArea,Stock,InjDet,Biopsy
8/28/2021,2021,DS,15.547,-162.543,OutsideEEZ,TRUE,HIPelagic,Dead,No
8/24/2021,2021,DS,24.682,-148.028,OutsideEEZ,TRUE,HIPelagic,Serious,No
9/13/2021,2021,DS,26.302,-157.07,OutsideEEZ,TRUE,HIPelagic,Serious,No
11/19/2021,2021,DS,19.918,-161.862,HawaiiEEZ,TRUE,HIPelagic,Serious,No
12/8/2021,2021,DS,17.698,-155.998,HawaiiEEZ,TRUE,HIPelagic,Serious,No
1/13/2022,2022,DS,18.69,-152.595,HawaiiEEZ,TRUE,HIPelagic,Serious,No
1/11/2022,2022,DS,15.527,-162.313,OutsideEEZ,TRUE,HIPelagic,CBD,No
1/24/2022,2022,DS,14.14,-162.948,OutsideEEZ,TRUE,HIPelagic,Serious,No
4/16/2022,2022,DS,15.517,-157.433,OutsideEEZ,TRUE,HIPelagic,Serious,No
9/3/2022,2022,DS,17.305,-153.647,HawaiiEEZ,TRUE,HIPelagic,Serious,No
12/6/2022,2022,DS,16.9,-163.373,OutsideEEZ,TRUE,HIPelagic,Serious,No
12/18/2022,2022,DS,17.413,-163.117,OutsideEEZ,TRUE,HIPelagic,Serious,No
